Hour,Visits
000404,2
000405,1
000406,0
000407,2
000408,2
000409,1
000410,1
000411,0
000412,4
000413,2
000414,2
000415,2
000416,3
000417,2
000418,4
000419,2
000420,4
000421,2
000422,4
000423,1
000424,3
000425,2
000426,0
000427,2
000428,0
000429,3
000430,1
000431,0
000432,0
000433,2
000434,3
000435,3
000436,1
000437,5
000438,3
000439,4
000440,2
000441,4
000442,4
000443,2
000444,2
000445,1
000446,5
000447,2
000448,3
000449,2
000450,3
000451,2
000452,1
000453,2
000454,4
000455,0
000456,1
000457,2
000458,4
000459,3
000460,3
000461,5
000462,3
000463,4
000464,5
000465,6
000466,2
000467,1
000468,2
000469,2
000470,2
000471,3
000472,0
000473,4
000474,0
000475,0
000476,1
000477,1
000478,1
000479,0
000480,1
000481,0
000482,1
000483,0
000484,2
000485,3
000486,1
000487,1
000488,2
000489,0
000490,2
000491,1
000492,1
000493,1
000494,1
000495,1
000496,0
000497,2
000498,0
000499,0
000500,0
000501,0
000502,0
000503,0
000504,1
000505,0
000506,1
000507,1
000508,1
000509,1
000510,1
000511,0
000512,0
000513,0
000514,1
000515,3
000516,0
000517,1
000518,2
000519,0
000520,2
000521,1
000522,1
000523,2
000524,1
000525,1
000526,1
000527,1
000528,0
000529,1
000530,2
000531,6
000532,3
000533,0
000534,4
000535,1
000536,2
000537,3
000538,3
000539,4
000540,5
000541,2
000542,2
000543,0
000544,4
000545,0
000546,2
000547,0
000548,2
000549,1
000550,2
000551,5
000552,6
000553,2
000554,4
000555,1
000556,2
000557,4
000558,2
000559,2
000560,2
000561,0
000562,0
000563,3
000564,5
000565,2
000566,2
000567,1
000568,2
000569,1
000570,4
000571,1
000572,1
000573,0
000574,2
000575,0
000576,2
000577,0
000578,2
000579,2
000580,3
000581,4
000582,3
000583,5
000584,6
000585,2
000586,1
000587,1
000588,3
000589,2
000590,2
000591,6
000592,7
000593,6
000594,1
000595,4
000596,3
000597,4
000598,3
000599,4
000600,2
000601,2
000602,4
000603,3
000604,6
000605,6
000606,3
000607,2
000608,1
000609,3
000610,1
000611,1
000612,2
000613,0
000614,4
000615,0
000616,0
000617,1
000618,3
000619,1
000620,1
000621,1
000622,2
000623,3
000624,1
000625,1
000626,3
000627,2
000628,3
000629,6
000630,2
000631,3
000632,2
000633,7
000634,4
000635,8
000636,2
000637,2
000638,3
000639,3
000640,3
000641,0
000642,0
000643,1
000644,3
000645,2
000646,3
000647,5
000648,3
000649,2
000650,1
000651,0
000652,3
000653,1
000654,0
000655,1
000656,0
000657,0
000658,1
000659,2
000660,0
000661,1
000662,1
000663,1
000664,3
000665,2
000666,1
000667,1
000668,0
000669,0
000670,1
000671,1
000672,1
000673,0
000674,0
000675,0
000676,1
000677,2
000678,0
000679,0
000680,3
000681,1
000682,2
000683,1
000684,2
000685,3
000686,2
000687,0
000688,2
000689,1
000690,1
000691,1
000692,0
000693,2
000694,3
000695,1
000696,1
000697,4
000698,3
000699,3
000700,6
000701,7
000702,0
000703,5
000704,6
000705,8
000706,5
000707,1
000708,4
000709,5
000710,4
000711,3
000712,3
000713,3
000714,2
000715,0
000716,0
000717,1
000718,3
000719,4
000720,2
000721,5
000722,3
000723,5
000724,5
000725,4
000726,2
000727,6
000728,3
000729,2
000730,1
000731,1
000732,1
000733,4
000734,5
000735,6
000736,8
000737,3
000738,0
000739,3
000740,2
000741,2
000742,2
000743,2
